PC  Teal                                                               Stack
1
10
13  byte ""                                                            0x
14  callsub test_self_ref_phi                                          0x
131 proto 0 1                                                          0x
168 int 1                                                              0x, 16, 16, 1
169 +                                                                  0x, 16, 17
170 frame_bury 0                                                       0x, 17
172 b test_self_ref_phi_while_top@1                                    0x, 17
135 frame_dig 0                                                        0x, 17, 17
137 int 100                                                            0x, 17, 17, 100
138 <                                                                  0x, 17, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 17
142 frame_dig 0                                                        0x, 17, 17
144 int 105                                                            0x, 17, 17, 105
146 %                                                                  0x, 17, 17
147 int 0                                                              0x, 17, 17, 0
148 ==                                                                 0x, 17, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 17
155 frame_dig 0                                                        0x, 17, 17
157 int 21                                                             0x, 17, 17, 21
159 %                                                                  0x, 17, 17
160 bnz test_self_ref_phi_after_if_else@6                              0x, 17
166 frame_dig 0                                                        0x, 17, 17
168 int 1                                                              0x, 17, 17, 1
169 +                                                                  0x, 17, 18
170 frame_bury 0                                                       0x, 18
172 b test_self_ref_phi_while_top@1                                    0x, 18
135 frame_dig 0                                                        0x, 18, 18
137 int 100                                                            0x, 18, 18, 100
138 <                                                                  0x, 18, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 18
142 frame_dig 0                                                        0x, 18, 18
144 int 105                                                            0x, 18, 18, 105
146 %                                                                  0x, 18, 18
147 int 0                                                              0x, 18, 18, 0
148 ==                                                                 0x, 18, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 18
155 frame_dig 0                                                        0x, 18, 18
157 int 21                                                             0x, 18, 18, 21
159 %                                                                  0x, 18, 18
160 bnz test_self_ref_phi_after_if_else@6                              0x, 18
166 frame_dig 0                                                        0x, 18, 18
168 int 1                                                              0x, 18, 18, 1
169 +                                                                  0x, 18, 19
170 frame_bury 0                                                       0x, 19
172 b test_self_ref_phi_while_top@1                                    0x, 19
135 frame_dig 0                                                        0x, 19, 19
137 int 100                                                            0x, 19, 19, 100
138 <                                                                  0x, 19, 1
139 bz test_self_ref_phi_after_while@7                                 0x, 19
142 frame_dig 0                                                        0x, 19, 19
144 int 105                                                            0x, 19, 19, 105
146 %                                                                  0x, 19, 19
147 int 0                                                              0x, 19, 19, 0
148 ==                                                                 0x, 19, 0
149 bz test_self_ref_phi_after_if_else@4                               0x, 19
155 frame_dig 0                                                        0x, 19, 19
157 int 21                                                             0x, 19, 19, 21
159 %                                                                  0x, 19, 19
