PC  Teal                                                            Stack
1
10  byte ""                                                         0x
12  callsub test_self_ref_phi                                       0x
129 proto 0 1                                                       0x
177 int 2                                                           0x, 1, 1, 2
178 swap                                                            0x, 1, 2, 1
179 frame_dig -1                                                    0x, 1, 2, 1, 1
181 int 0                                                           0x, 1, 2, 1, 1, 0
182 >                                                               0x, 1, 2, 1, 1
183 bz test_swap_after_while@3                                      0x, 1, 2, 1
186 frame_dig -1                                                    0x, 1, 2, 1, 1
188 int 1                                                           0x, 1, 2, 1, 1, 1
189 -                                                               0x, 1, 2, 1, 0
190 frame_bury -1                                                   0x, 0, 2, 1
192 frame_dig 0                                                     0x, 0, 2, 1, 2
194 swap                                                            0x, 0, 2, 2, 1
195 frame_bury 0                                                    0x, 0, 1, 2
197 b test_swap_while_top@1                                         0x, 0, 1, 2
179 frame_dig -1                                                    0x, 0, 1, 2, 0
181 int 0                                                           0x, 0, 1, 2, 0, 0
182 >                                                               0x, 0, 1, 2, 0
183 bz test_swap_after_while@3                                      0x, 0, 1, 2
200 swap                                                            0x, 0, 2, 1
201 retsub                                                          0x, 2
20  dup                                                             0x, 2, 2
21  swap                                                            0x, 2, 2
22  dup                                                             0x, 2, 2, 2
23  itob                                                            0x, 2, 2, 0x0000000000000002
24  log                                                             0x, 2, 2
25  int 1                                                           0x, 2, 2, 1
26  >=                                                              0x, 2, 1
27  bz main_bool_false@3                                            0x, 2
30  dup                                                             0x, 2, 2
31  int 2                                                           0x, 2, 2, 2
32  <=                                                              0x, 2, 1
33  bz main_bool_false@3                                            0x, 2
36  int 1                                                           0x, 2, 1
37  b main_bool_merge@4                                             0x, 2, 1
41  assert                                                          0x, 2
42  int 2                                                           0x, 2, 2
43  callsub test_swap                                               0x, 2, 2
173 proto 1 1                                                       0x, 2, 2
176 int 1                                                           0x, 2, 2, 1
177 int 2                                                           0x, 2, 2, 1, 2
178 swap                                                            0x, 2, 2, 2, 1
179 frame_dig -1                                                    0x, 2, 2, 2, 1, 2
181 int 0                                                           0x, 2, 2, 2, 1, 2, 0
182 >                                                               0x, 2, 2, 2, 1, 1
183 bz test_swap_after_while@3                                      0x, 2, 2, 2, 1
186 frame_dig -1                                                    0x, 2, 2, 2, 1, 2
188 int 1                                                           0x, 2, 2, 2, 1, 2, 1
189 -                                                               0x, 2, 2, 2, 1, 1
190 frame_bury -1                                                   0x, 2, 1, 2, 1
192 frame_dig 0                                                     0x, 2, 1, 2, 1, 2
194 swap                                                            0x, 2, 1, 2, 2, 1
195 frame_bury 0                                                    0x, 2, 1, 1, 2
197 b test_swap_while_top@1                                         0x, 2, 1, 1, 2
179 frame_dig -1                                                    0x, 2, 1, 1, 2, 1
181 int 0                                                           0x, 2, 1, 1, 2, 1, 0
182 >                                                               0x, 2, 1, 1, 2, 1
183 bz test_swap_after_while@3                                      0x, 2, 1, 1, 2
186 frame_dig -1                                                    0x, 2, 1, 1, 2, 1
188 int 1                                                           0x, 2, 1, 1, 2, 1, 1
189 -                                                               0x, 2, 1, 1, 2, 0
190 frame_bury -1                                                   0x, 2, 0, 1, 2
192 frame_dig 0                                                     0x, 2, 0, 1, 2, 1
194 swap                                                            0x, 2, 0, 1, 1, 2
195 frame_bury 0                                                    0x, 2, 0, 2, 1
197 b test_swap_while_top@1                                         0x, 2, 0, 2, 1
179 frame_dig -1                                                    0x, 2, 0, 2, 1, 0
181 int 0                                                           0x, 2, 0, 2, 1, 0, 0
182 >                                                               0x, 2, 0, 2, 1, 0
183 bz test_swap_after_while@3                                      0x, 2, 0, 2, 1
200 swap                                                            0x, 2, 0, 1, 2
201 retsub                                                          0x, 2, 1
46  dup                                                             0x, 2, 1, 1
47  bury 3                                                          1, 2, 1
49  dup                                                             1, 2, 1, 1
50  itob                                                            1, 2, 1, 0x0000000000000001
51  log                                                             1, 2, 1
52  int 1                                                           1, 2, 1, 1
53  >=                                                              1, 2, 1
54  bz main_bool_false@7                                            1, 2
57  dig 1                                                           1, 2, 1
59  int 2                                                           1, 2, 1, 2
60  <=                                                              1, 2, 1
61  bz main_bool_false@7                                            1, 2
64  int 1                                                           1, 2, 1
