PC  Teal                                                            Stack
1   #pragma version 8
188 frame_dig 1                                                     1, 2, 1, 0, 2, 1
190 frame_bury 0                                                    1, 1, 1, 0, 2
192 frame_dig 2                                                     1, 1, 1, 0, 2, 0
194 int 0                                                           1, 1, 1, 0, 2, 0, 0
195 >                                                               1, 1, 1, 0, 2, 0
196 bz test_swap_after_while@3                                      1, 1, 1, 0, 2
210 frame_bury 0                                                    1, 2, 1, 0
212 retsub                                                          2
18  dup                                                             2, 2
19  dup                                                             2, 2, 2
20  itob                                                            2, 2, 0x0000000000000002
21  log                                                             2, 2
22  int 1                                                           2, 2, 1
23  >=                                                              2, 1
24  bz main_bool_false@3                                            2
27  dup                                                             2, 2
28  int 2                                                           2, 2, 2
29  <=                                                              2, 1
30  bz main_bool_false@3                                            2
33  int 1                                                           2, 1
34  bury 1                                                          1
36  b main_bool_merge@4                                             1
42  dup                                                             1, 1
43  assert                                                          1
44  int 2                                                           1, 2
45  callsub test_swap                                               1, 2
179 proto 1 1                                                       1, 2
182 int 1                                                           1, 2, 1
183 int 2                                                           1, 2, 1, 2
184 frame_dig -1                                                    1, 2, 1, 2, 2
186 frame_dig 0                                                     1, 2, 1, 2, 2, 1
188 frame_dig 1                                                     1, 2, 1, 2, 2, 1, 2
190 frame_bury 0                                                    1, 2, 2, 2, 2, 1
192 frame_dig 2                                                     1, 2, 2, 2, 2, 1, 2
194 int 0                                                           1, 2, 2, 2, 2, 1, 2, 0
195 >                                                               1, 2, 2, 2, 2, 1, 1
196 bz test_swap_after_while@3                                      1, 2, 2, 2, 2, 1
199 frame_dig 2                                                     1, 2, 2, 2, 2, 1, 2
201 int 1                                                           1, 2, 2, 2, 2, 1, 2, 1
202 -                                                               1, 2, 2, 2, 2, 1, 1
203 frame_bury 2                                                    1, 2, 2, 2, 1, 1
205 frame_bury 1                                                    1, 2, 2, 1, 1
207 b test_swap_while_top@1                                         1, 2, 2, 1, 1
186 frame_dig 0                                                     1, 2, 2, 1, 1, 2
188 frame_dig 1                                                     1, 2, 2, 1, 1, 2, 1
190 frame_bury 0                                                    1, 2, 1, 1, 1, 2
192 frame_dig 2                                                     1, 2, 1, 1, 1, 2, 1
194 int 0                                                           1, 2, 1, 1, 1, 2, 1, 0
195 >                                                               1, 2, 1, 1, 1, 2, 1
196 bz test_swap_after_while@3                                      1, 2, 1, 1, 1, 2
199 frame_dig 2                                                     1, 2, 1, 1, 1, 2, 1
201 int 1                                                           1, 2, 1, 1, 1, 2, 1, 1
202 -                                                               1, 2, 1, 1, 1, 2, 0
203 frame_bury 2                                                    1, 2, 1, 1, 0, 2
205 frame_bury 1                                                    1, 2, 1, 2, 0
207 b test_swap_while_top@1                                         1, 2, 1, 2, 0
186 frame_dig 0                                                     1, 2, 1, 2, 0, 1
188 frame_dig 1                                                     1, 2, 1, 2, 0, 1, 2
